C,Pais,capital,Pobla,Superf,moneda,punto mas alto,altura,Pob-cap,Per-pob,Pib PC,Nominal,Eda-Me,E-vida,Cultiv,Fertil,Escol,Dens
f,Eritrea,Asmara,5.918,117.600,Nakfa,Soira,3018,804.000,13.6%,"1,400",5.35,19.7,65.2,6.8,3.99,5,50.3
f,Malaui,Lilongue,19.196,118.484,Kwacha,Monte Mulanje,3002,905.000,4.7%,"1,100",5.49,16.5,61.7,38.2,5.49,11,162.0
a,Corea del norte,Piong Yang,25.248,120.538,Won,Monte Paektu,2744,2863.000,11.3%,"1,700",28.00,34,70.7,19.5,1.95,12,209.5
m,Nicaragua,Managua,6.025,130.370,Córdoba,Mogotón,2107,956.000,15.9%,"5,500",13.23,25.7,73.5,12.5,1.89,,46.2
e,Grecia,Atenas,10.770,132.000,Euro,Monte Mitikas (Olimpo),2919,3052.000,28.3%,"26,700",194.60,44.5,80.7,19.7,1.43,17,81.6
a,Tayikistan,Dusambe,8.469,143.100,Somoni,Pico Ismail Samani,7495,822.000,9.7%,"3,000",6.92,24.5,68.1,6.1,2.63,11,59.2
a,Nepal,Katmandu,29.384,147.181,Rupia,Monte Everest,8848,1183.000,4.0%,"2,500",21.14,24.1,71,15.1,2.12,12,199.6
a,Banglades,Dakha,157.827,147.570,Taka,Mowdok Mual,1052,17598.000,11.2%,"3,900",228.40,26.7,73.4,59,2.17,10,1069.5
f,Tunez,Tunez,11.404,163.610,Dinar,Djebel Chambi,1544,1993.000,17.5%,"11,600",42.07,31.6,75.7,18.3,2.23,15,69.7
m,Surinam,Paramaribo,0.592,163.820,Dólar,Juliana Top,1230,234.000,39.5%,"14,000",3.63,29.8,72.5,0.4,1.93,,3.6
m,Uruguay,Montevideo,3.360,176.215,Peso,Cerro Catedral,514,1707.000,50.8%,"21,500",52.42,35,77.4,10.1,1.8,16,19.1
a,Camboya,Nom Phen,16.204,181.000,Riel,Phnum Aoral,1810,1731.000,10.7%,"3,700",20.16,25.3,64.9,22.7,2.52,11,89.5
a,Siria,Damasco,18.029,185.180,Libra,Monte Hermon,2814,2566.000,14.2%,"2,900",24.60,24.3,75.1,25.4,2.5,9,97.4
f,Senegal,Dakar,14.669,196.722,Franco,"Sin nombre, cerca Nepen Diakha",648,3520.000,24.0%,"2,600",14.72,18.8,62.1,17.4,4.28,8,74.6
a,Kirguistan,Biskek,5.789,200.000,Som,Jengish Chokusu,7439,865.000,14.9%,"3,500",6.55,26.5,70.9,6.7,2.61,13,28.9
e,Bielorusia,Misk,9.549,207.600,Rublo,Dzyarzhynskaya,346,1915.000,20.1%,"18,000",47.39,40,73,27.2,1.48,16,46.0
m,Guyana,Georgetown,0.737,214.969,Dólar,Monte Roraima,2750,124.000,16.8%,"7,900",3.44,26.2,68.6,2.1,2,10,3.4
a,Laos,Ventian,7.126,236.800,Kip,Phou Bia,2817,997.000,14.0%,"5,700",15.77,23,64.6,6.2,2.7,11,30.1
e,Rumania,Bucarest,21.529,238.391,Leu,Moldoveanu,2544,1868.000,8.7%,"22,300",187.60,41.1,75.4,39.1,1.35,15,90.3
f,Ghana,Accra,27.500,238.533,Cedi,Monte Afadjato,880,2277.000,8.3%,"4,400",42.78,21.1,67,20.7,4,11,115.3
f,Uganda,Kampala,39.570,241.038,Chelín,Pico Margarita en el Monte Stanley,5109,1936.000,4.9%,"2,100",25.31,15.8,55.9,34.3,5.71,10,164.2
e,Reino unido,Londres,64.769,243.610,Libra,Ben Nevis,1345,10313.000,15.9%,"42,500",2629.00,40.5,80.8,25.1,1.88,18,265.9
f,Guinea,Conakri,12.413,245.857,Franco,Monte Nimba,1752,1936.000,15.6%,"1,300",8.48,18.9,61,11.8,4.77,9,50.5
f,West sahara,Aaiun,0.587,266.000,Dirham,Guelta Zemmur,463,262.000,44.6%,"3,257",0.91,,,,,,2.2
f,Gabon,Libreville,1.772,267.667,Franco,Monte Bengoué,1070,707.000,39.9%,"19,100",41.02,18.6,52.1,1.2,4.39,,6.6
o,Nueva zelanda,Wellintong,4.510,267.710,Dólar,Aoraki/Monte Cook,3724,383.000,8.5%,"37,300",181.70,37.9,81.3,1.8,2.02,19,16.8
f,Burkina faso,Uagaduju,20.107,274.200,Franco,Tena Kourou,749,2741.000,13.6%,"1,800",12.12,17.3,55.9,20.8,5.71,8,73.3
m,Ecuador,Quito,16.290,283.561,Dólar,Chimborazo,6267,1726.000,10.6%,"11,100",97.80,27.7,77,4.7,2.19,14,57.4
a,Filipinas,Manila,104.250,300.000,Peso,Apo,2954,12946.000,12.4%,"7,700",304.90,23.5,69.4,18.2,3.02,13,347.5
e,Italia,Roma,62.137,301.340,Euro,Monte blanco,4810,3718.000,6.0%,"36,800",1851.00,45.5,82.3,22.8,1.44,16,206.2
a,Oman,Mascate,3.424,309.500,Rial,Jabal Shams,3009,838.000,24.5%,"46,700",66.29,25.6,75.7,0.1,2.82,14,11.1
e,Polonia,Varsovia,38.476,312.685,Zloty,Rysy,2499,1722.000,4.5%,"27,800",469.30,40.7,77.8,36.2,1.35,16,123.1
f,Costa de marfil,Yamusukro,24.184,322.463,Franco,Monte Nimba,1752,259.000,1.1%,"3,600",35.67,20.9,59,9.1,3.38,9,75.0
e,Noruega,Oslo,5.320,323.802,Corona,Galdhøpiggen,2469,986.000,18.5%,"69,200",370.60,39.2,81.9,2.2,1.85,18,16.4
a,Malasia,Kuala Lumpur,31.381,329.847,Ringgit,Monte Kinabalu,4095,6837.000,21.8%,"27,300",296.50,28.5,75.2,2.9,2.5,14,95.1
a,Vietnam,Hanoi,96.160,331.210,Dong,Fan Si Pan,3143,3629.000,3.8%,"6,400",201.30,30.5,73.7,20.6,1.81,,290.3
e,Finlandia,Helsinki,5.518,338.145,Euro,Halti,1324,1180.000,21.4%,"42,400",238.60,42.5,81,7.4,1.75,19,16.3
f,Rep Congo,Brazaville,4.954,342.000,Franco,Monte Nabeba,1020,1888.000,38.1%,"6,700",7.87,19.7,59.8,1.6,4.59,11,14.5
e,Alemania,Berlin,80.594,357.022,Euro,Zugspitze,2962,3563.000,4.4%,"48,100",3479.00,47.1,80.8,34.1,1.45,17,225.7
a,Japon,Tokio,126.451,378.000,Yen,Monte Fuji,3776,38001.000,30.1%,"41,300",4937.00,47.3,85.3,11.7,1.41,15,334.5
f,Zimbaue,Harare,13.805,390.757,Dólar,Monte Nyangani,2592,1501.000,10.9%,"2,000",16.12,20,60.4,10.9,3.98,10,35.3
m,Paraguay,Asunción,6.943,406.752,Guaraní,Cerro Peró (Cerro Tres Kandú),842,2356.000,33.9%,"9,400",27.44,28.2,77.4,10.8,1.9,12,17.1
a,Irak,Bagdag,39.192,438.317,Dinar,Cheekha Dar,3611,6643.000,16.9%,"17,900",171.70,20,74.9,8.4,4,,89.4
f,Marruecos,Rabat,33.986,446.550,Dirham,Jbel Toubkal,4165,1967.000,5.8%,"8,300",103.60,29.3,77.1,17.5,2.11,12,76.1
a,Uzbequistan,Taskent,29.749,447.400,Som,Khazret Sultan,4643,2251.000,7.6%,"6,600",66.85,28.6,74,10.1,1.76,12,66.5
e,Suecia,Estocolmo,9.960,450.295,Corona,Kebnekaise,2104,1486.000,14.9%,"49,800",511.00,41.2,82.1,6.4,1.88,18,22.1
o,Papua nueva,Puerto Moresbi,6.909,462.840,Kina,Monte Wilhelm,4509,345.000,5.0%,"3,500",20.48,23.1,67.3,0.7,3.03,,14.9
f,Camerun,Yaunde,24.994,475.440,Franco,Fako,4040,3066.000,12.3%,"3,200",29.33,18.5,59,13.1,4.64,10,52.6
a,Turkmenistan,Asjabad,5.351,488.100,Manat,Gora Ayribaba,3139,746.000,13.9%,"17,500",36.18,27.9,70.4,4.1,2.07,11,11.0
e,España,Madrid,48.958,505.370,Euro,Teide,3718,6199.000,12.7%,"36,400",1233.00,42.7,81.8,24.9,1.5,18,96.9
a,Tailandia,Bangkok,68.414,513.120,Baht,Doi Inthanon,2565,9270.000,13.5%,"16,900",407.10,37.7,74.9,30.8,1.52,14,133.3
a,Yemen,Sana,28.037,527.968,Rial,Jabal an Nabi Shu'ayb,3666,2962.000,10.6%,"2,400",27.32,19.5,65.9,2.2,3.63,9,53.1
f,Kenia,Nairobi,47.615,580.367,Chelín,Pico Batian,5199,3915.000,8.2%,"3,400",70.53,19.7,64.3,9.8,2.98,11,82.0
f,Botswana,Gaborone,2.214,581.730,Pula,Cerro Otse,1491,247.000,11.2%,"17,000",15.57,24.5,63.3,0.6,2.56,13,3.8
f,Madagascar,Antananaribo,25.054,587.000,Franco,Maromokotro,2876,2610.000,10.4%,"1,500",10.00,19.7,66.3,6,4.03,10,42.7
e,Ucrania,Kiev,44.034,603.550,Grivna,Hora Hoverla,2061,2942.000,6.7%,"8,300",93.26,40.6,72.1,56.1,1.54,15,73.0
f,Rep Centro africana,Bunguil,5.625,622.984,Franco,Monte Ngaoui,1420,794.000,14.1%,700,1.78,19.7,52.8,2.9,4.3,7,9.0
f,Somalia,Mogadiscio,11.031,637.657,Chelín,Shimbiris,2450,2138.000,19.4%,400,6.34,18.1,52.8,1.8,5.8,,17.3
e,Francia,Paris,67.106,643.801,Euro,Monte blanco,4810,10843.000,16.2%,"42,300",2466.00,41.4,81.9,33.4,2.07,16,104.2
f,Sudan del sur,Yuba,13.026,644.329,Libra,Kinyeti,3187,321.000,2.5%,"1,700",3.06,17.3,,,5.07,,20.2
a,Afganistan,Kabul,34.124,652.230,Afgani,Noshaq,7492,4635.000,13.6%,"1,900",19.45,18.8,51.7,11.9,5.12,11,52.3
a,Birmania,Naipyido,55.123,676.578,Kyat,Hkakabo Razi,5881,1030.000,1.9%,"5,800",64.37,28.2,68.2,16.5,2.17,8,81.5
f,Zambia,Lusaka,15.972,752.618,Kwacha,"Sin nombre, en Mafinga",2329,2179.000,13.6%,"3,900",21.01,16.8,52.7,4.8,5.63,,21.2
m,Chile,Santiago,17.789,756.096,Peso,Ojos del Salado,6893,6507.000,36.6%,"24,100",247.00,34.4,78.9,1.7,1.8,16,23.5
a,Turquia,Ankara,80.845,783.562,Lira,Monte Ararat,5137,4750.000,5.9%,"24,900",863.40,30.9,75,26.7,2.01,16,103.2
a,Pakistan,Islamabad,204.924,796.000,Rupia,K2,8611,1365.000,0.7%,"5,100",278.90,23.8,68.1,27.6,2.62,8,257.4
f,Mozambique,Maputo,26.573,799.380,Metical,Binga,2436,1187.000,4.5%,"1,200",11.27,17.2,53.7,6.4,5.08,9,33.2
f,Namibia,Windoek,2.484,824.292,Dólar,Konigstein,2606,368.000,14.8%,"11,300",10.95,21.2,64,1,3.29,11,3.0
m,Venezuela,Caracas,31.304,912.050,Bolívar,Pico Bolívar,4978,2916.000,9.3%,"13,800",236.40,28.3,76,3.1,2.32,14,34.3
f,Nigeria,Abuya,190.623,923.768,Naira,Chappal Waddi,2419,2440.000,1.3%,"5,900",405.40,18.4,53.8,37.3,5.07,,206.4
f,Tanzania,Dodoma,53.951,947.300,Chelín,Pico Uhuru en Kilimanjaro,5892,411.000,0.8%,"3,100",47.65,17.7,62.6,14.3,4.77,8,57.0
f,Egipto,El Cairo,97.041,1001.450,Libra,Catalina,2629,18772.000,19.3%,"12,600",332.30,23.9,73,2.8,3.47,13,96.9
f,Mauritania,Nuakshot,3.758,1030.700,Uquiya,Kediet Ijill,915,968.000,25.8%,"4,300",4.73,20.5,63.4,0.4,3.86,8,3.6
m,Bolivia,Sucre,11.138,1098.581,Boliviano,Nevado Sajama,6542,372.000,3.3%,"7,200",34.05,24.3,69.5,3.6,2.63,14,10.1
f,Etiopia,Adis abeba,105.350,1104.300,Biir,Ras Dejen,4550,3238.000,3.1%,"1,900",72.52,17.9,62.6,15.2,4.99,8,95.4
m,Colombia,Bogotá,47.698,1138.910,Peso,Pico Colón o Bolívar,5700,9765.000,20.5%,"14,100",282.40,30,75.9,1.4,2,14,41.9
f,Sudafrica,Pretoria,54.841,1219.090,Rand,Mafadi,3450,2059.000,3.8%,"13,200",294.90,27.1,63.8,9.9,2.29,13,45.0
f,Mali,Bamako,17.885,1240.000,Franco,Hombori Tondo,1155,2515.000,14.1%,"2,300",14.04,15.8,60.3,5.6,6.01,8,14.4
f,Angola,Luanda,29.310,1246.700,Kwanza,Morro de Moco,2620,5506.000,18.8%,"6,800",95.34,15.9,60.2,3.8,6.16,10,23.5
f,Niger,Niamei,19.245,1267.000,Franco,Monte Bagzane,2022,1090.000,5.7%,"1,100",7.49,15.4,55.9,12.3,6.49,5,15.2
f,Chad,Yamena,12.075,1284.000,Franco,Emi Koussi,3445,1260.000,10.4%,"2,400",10.10,17.8,50.6,3.9,4.34,7,9.4
m,Peru,Lima,31.036,1285.216,Sol,Nevado Huascarán,6768,9897.000,31.9%,"12,900",195.30,28,74,3.1,2.12,13,24.1
a,Mongolia,Ulan Bator,3.068,1564.000,Tugrik,Pico Juiten,4374,1377.000,44.9%,"12,300",11.03,28.3,69.9,0.4,2.09,15,2.0
a,Iran,Teheran,82.021,1648.000,Rial,Damavand,5610,8432.000,10.3%,"18,100",404.40,30.3,74,10.8,1.97,15,49.8
f,Libia,Tripoli,6.653,1759.540,Dinar,Bikku Bitti,2267,1126.000,16.9%,"8,700",20.46,28.9,76.7,1,2.04,,3.8
f,Sudan,Jartum,37.345,1861.484,Libra,Deriba Caldera,3042,5129.000,13.7%,"4,400",91.24,19.9,64.4,15.7,3.57,7,20.1
a,Indonesia,Yakarta,260.580,1904.000,Rupia,Puncak Jaya (Monte Carstensz),4884,10323.000,4.0%,"11,700",932.40,30.2,73,13,2.11,13,136.9
m,Mexico,Mexico,124.574,1964.000,Peso,Citlaltépetl (Pico de Orizaba),5636,20999.000,16.9%,"18,900",1047.00,28.3,76.1,11.8,2.24,13,63.4
a,Arabia saudi,Riad,28.572,2149.690,Riyal,Jabal Sawda,3133,6195.000,21.7%,"55,200",646.40,27.5,75.5,1.5,2.09,16,13.3
f,Rep Democ Congo,Kinshasa,83.301,2344.858,Franco,Pico Margarita en el Monte Stanley,5109,11587.000,13.9%,800,39.32,18.6,57.7,3.1,4.39,9,35.5
f,Argelia,Argel,40.969,2381.741,Dinar,Tahat,3003,2594.000,6.3%,"15,000",159.00,28.1,77,3.1,2.7,14,17.2
a,Kazajistan,Astana,18.556,2725.000,Tengue,Khan Tengri,7010,1523.000,8.2%,"25,100",133.70,30.6,71.1,8.9,2.25,15,6.8
m,Argentina,Buenos Aires,44.293,2780.400,Peso,Aconcagua,6964,15180.000,34.3%,"20,000",544.70,31.7,77.3,13.9,2.26,17,15.9
a,India,Nueva Delhi,1282.000,3287.000,Rupia,Kanchenjunga,8586,25703.000,2.0%,"6,600",2264.00,27.9,68.8,52.8,2.43,12,390.0
o,Australia,Canberra,23.232,7741.220,Dólar,Pico Mawson en la Isla Heard,2745,423.000,1.8%,"48,900",1262.00,38.7,82.3,6.2,1.77,20,3.0
m,Brasil,Brasilia,207.353,8515.767,Real,Pico da Neblina,2995,4155.000,2.0%,"15,200",1799.00,32,74,8.6,1.75,15,24.3
a,China,Pekin,1379.302,9596.961,Yuan,Monte Everest,8848,20384.000,1.5%,"15,400",11230.00,37.4,75.7,11.3,1.6,14,143.7
m,Estados unidos,Washinton D.C.,326.625,9826.000,Dólar,Monte McKinley (Denali),6190,4955.000,1.5%,"57,400",18620.00,38.1,80,16.8,1.87,17,33.2
m,Canada,Ottawa,35.623,9984.670,Dólar,Monte Logan,5959,1326.000,3.7%,"46,400",1530.00,42.2,81.9,4.7,1.6,,3.6
e,Rusia,Moscu,142.257,17098.000,Rublo,Monte Elbrus,5642,12166.000,8.6%,"26,500",1283.00,39.6,71,7.3,1.61,15,8.3